Product ID,Category,Brand,Season,Size,Color, Original Price ,Markdown Percentage, Current Price ,Purchase Date,Stock Quantity,Customer Rating,Is Returned,Return Reason
FB000001,Outerwear,Zara,Spring,XL,Red, $196.00 ,0%, $196.00 ,05 July 2025,37,3.0,FALSE,No Action
FB000002,Tops,Uniqlo,Winter,L,Pink, $119.00 ,0%, $119.00 ,06 August 2025,2,2.5,FALSE,No Action
FB000003,Accessories,Uniqlo,Winter,L,Black, $33.00 ,0%, $33.00 ,06 August 2025,22,4.3,FALSE,No Action
FB000004,Shoes,Uniqlo,Spring,XL,Black, $75.00 ,0%, $75.00 ,07 July 2025,48,2.6,FALSE,No Action
FB000005,Tops,Banana Republic,Winter,XL,Black, $105.00 ,0%, $105.00 ,06 August 2025,10,3.0,FALSE,No Action
FB000006,Accessories,Zara,Fall,XL,White, $35.00 ,35%, $22.00 ,06 August 2025,38,2.9,TRUE,Color Mismatch
FB000007,Bottoms,Zara,Spring,S,Gray, $53.00 ,54%, $24.00 ,29 October 2024,38,2.6,FALSE,No Action
FB000008,Dresses,Mango,Winter,XL,Blue, $91.00 ,22%, $71.00 ,06 August 2025,47,1.6,FALSE,No Action
FB000009,Outerwear,Uniqlo,Spring,XL,Green, $227.00 ,13%, $198.00 ,24 March 2025,14,3.0,FALSE,No Action
FB000010,Outerwear,H&M,Fall,XXL,Pink, $248.00 ,11%, $221.00 ,06 August 2025,37,3.0,FALSE,No Action
FB000011,Tops,Mango,Spring,L,Black, $116.00 ,0%, $116.00 ,25 April 2025,3,4.4,FALSE,No Action
FB000012,Shoes,Uniqlo,Winter,S,Blue, $146.00 ,0%, $146.00 ,06 August 2025,2,3.4,FALSE,No Action
FB000013,Bottoms,Ann Taylor,Spring,S,White, $37.00 ,0%, $37.00 ,04 January 2025,43,3.0,FALSE,No Action
FB000014,Dresses,Uniqlo,Fall,XS,Beige, $48.00 ,0%, $48.00 ,06 August 2025,39,1.6,FALSE,No Action
FB000015,Tops,Mango,Winter,M,Beige, $79.00 ,0%, $79.00 ,06 August 2025,7,1.7,FALSE,No Action
FB000016,Accessories,Mango,Winter,M,Green, $67.00 ,0%, $67.00 ,06 August 2025,17,2.4,FALSE,No Action
FB000017,Shoes,Gap,Summer,S,Beige, $123.00 ,0%, $123.00 ,06 August 2025,14,4.6,FALSE,No Action
FB000018,Tops,Ann Taylor,Winter,L,Navy, $102.00 ,0%, $102.00 ,06 August 2025,14,3.5,FALSE,No Action
FB000019,Outerwear,Mango,Summer,M,Purple, $137.00 ,58%, $57.00 ,06 August 2025,16,4.1,FALSE,No Action
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray, $142.00 ,0%, $142.00 ,06 August 2025,1,3.7,FALSE,No Action
FB000021,Bottoms,Mango,Fall,L,Beige, $33.00 ,22%, $26.00 ,06 August 2025,42,3.0,FALSE,No Action
FB000022,Accessories,Zara,Spring,L,Brown, $62.00 ,0%, $62.00 ,24 September 2024,10,2.5,FALSE,No Action
FB000023,Accessories,Zara,Winter,L,Pink, $38.00 ,0%, $38.00 ,06 August 2025,46,1.2,FALSE,No Action
FB000024,Dresses,Banana Republic,Summer,XL,Green, $91.00 ,0%, $91.00 ,06 August 2025,37,1.2,TRUE,Size Issue
FB000025,Tops,Forever21,Fall,XS,Blue, $80.00 ,29%, $57.00 ,06 August 2025,38,3.6,FALSE,No Action
FB000026,Bottoms,Uniqlo,Spring,M,Red, $40.00 ,34%, $26.00 ,11 June 2025,16,3.7,FALSE,No Action
FB000027,Bottoms,Banana Republic,Summer,L,Red, $47.00 ,36%, $30.00 ,06 August 2025,25,1.1,TRUE,Damaged
FB000028,Bottoms,Gap,Summer,M,Blue, $53.00 ,0%, $53.00 ,06 August 2025,28,3.8,FALSE,No Action
FB000029,Dresses,Ann Taylor,Summer,L,White, $114.00 ,0%, $114.00 ,06 August 2025,6,1.2,FALSE,No Action
FB000030,Shoes,Gap,Spring,XL,Red, $77.00 ,0%, $77.00 ,24 October 2024,1,3.0,FALSE,No Action
FB000031,Shoes,Uniqlo,Summer,S,Red, $71.00 ,0%, $71.00 ,06 August 2025,37,4.1,TRUE,Quality Issue
FB000032,Tops,Gap,Spring,L,Purple, $37.00 ,24%, $28.00 ,16 April 2025,5,3.0,FALSE,No Action
FB000033,Shoes,Zara,Spring,XL,Purple, $143.00 ,0%, $143.00 ,16 October 2024,43,1.1,FALSE,No Action
FB000034,Tops,Banana Republic,Summer,XL,Gray, $88.00 ,0%, $88.00 ,06 August 2025,44,1.6,FALSE,No Action
FB000035,Accessories,Forever21,Fall,XL,Navy, $58.00 ,0%, $58.00 ,06 August 2025,38,1.5,FALSE,No Action
FB000036,Tops,Uniqlo,Winter,XXL,White, $119.00 ,6%, $112.00 ,06 August 2025,37,4.9,FALSE,No Action
FB000037,Bottoms,Banana Republic,Fall,XXL,Green, $97.00 ,48%, $50.00 ,06 August 2025,31,4.1,FALSE,No Action
FB000038,Dresses,Banana Republic,Summer,L,White, $110.00 ,0%, $110.00 ,06 August 2025,32,3.4,FALSE,No Action
FB000039,Shoes,Zara,Winter,XS,Green, $198.00 ,14%, $170.00 ,06 August 2025,10,3.0,FALSE,No Action
FB000040,Bottoms,Banana Republic,Winter,XS,Purple, $101.00 ,0%, $101.00 ,06 August 2025,40,3.0,FALSE,No Action
FB000041,Tops,Uniqlo,Summer,S,White, $117.00 ,0%, $117.00 ,06 August 2025,6,3.0,FALSE,No Action
FB000042,Tops,Ann Taylor,Summer,M,Green, $78.00 ,0%, $78.00 ,06 August 2025,22,4.3,FALSE,No Action
FB000043,Outerwear,Zara,Winter,XS,Navy, $216.00 ,51%, $105.00 ,06 August 2025,36,4.0,FALSE,No Action
FB000044,Shoes,Zara,Spring,XL,Pink, $129.00 ,0%, $129.00 ,25 April 2025,36,3.3,FALSE,No Action
FB000045,Tops,Banana Republic,Winter,XXL,Green, $111.00 ,0%, $111.00 ,06 August 2025,11,1.7,FALSE,No Action
FB000046,Dresses,Uniqlo,Summer,XL,Brown, $73.00 ,0%, $73.00 ,06 August 2025,33,3.6,FALSE,No Action
FB000047,Shoes,Mango,Summer,L,Pink, $147.00 ,30%, $102.00 ,06 August 2025,13,4.4,FALSE,No Action
FB000048,Accessories,Ann Taylor,Winter,L,Green, $44.00 ,54%, $20.00 ,06 August 2025,42,2.4,FALSE,No Action
FB000049,Bottoms,Forever21,Summer,XL,White, $101.00 ,0%, $101.00 ,06 August 2025,7,2.8,FALSE,No Action
FB000050,Accessories,Banana Republic,Summer,XL,Brown, $16.00 ,56%, $7.00 ,06 August 2025,43,3.0,FALSE,No Action
FB000051,Bottoms,H&M,Fall,M,Beige, $50.00 ,0%, $50.00 ,06 August 2025,3,1.8,FALSE,No Action
FB000052,Outerwear,Forever21,Spring,S,White, $222.00 ,0%, $222.00 ,03 May 2025,50,4.5,FALSE,No Action
FB000053,Shoes,Gap,Summer,S,Navy, $104.00 ,57%, $44.00 ,06 August 2025,14,1.8,FALSE,No Action
FB000054,Outerwear,Zara,Spring,S,White, $166.00 ,0%, $166.00 ,12 June 2025,21,4.2,FALSE,No Action
FB000055,Accessories,Banana Republic,Fall,S,Black, $44.00 ,51%, $21.00 ,06 August 2025,21,3.0,FALSE,No Action
FB000056,Outerwear,Gap,Summer,S,Green, $121.00 ,15%, $102.00 ,06 August 2025,42,3.0,FALSE,No Action
FB000057,Tops,H&M,Spring,S,Beige, $73.00 ,0%, $73.00 ,10 July 2025,35,3.9,TRUE,Quality Issue
FB000058,Bottoms,Zara,Spring,XL,Brown, $84.00 ,26%, $61.00 ,25 October 2024,19,2.3,TRUE,Size Issue
FB000059,Tops,Mango,Summer,XS,Black, $28.00 ,0%, $28.00 ,06 August 2025,39,1.4,FALSE,No Action
FB000060,Shoes,Mango,Winter,XXL,Blue, $166.00 ,3%, $162.00 ,06 August 2025,27,3.0,FALSE,No Action
FB000061,Shoes,Ann Taylor,Summer,M,White, $145.00 ,7%, $136.00 ,06 August 2025,15,4.0,FALSE,No Action
FB000062,Outerwear,Gap,Fall,M,Purple, $218.00 ,0%, $218.00 ,06 August 2025,33,4.4,TRUE,Changed Mind
FB000063,Accessories,Forever21,Winter,M,White, $46.00 ,1%, $45.00 ,06 August 2025,30,1.9,FALSE,No Action
FB000064,Shoes,H&M,Summer,M,Green, $106.00 ,18%, $87.00 ,06 August 2025,11,4.5,FALSE,No Action
FB000065,Tops,Zara,Winter,XS,Gray, $93.00 ,2%, $91.00 ,06 August 2025,20,4.2,FALSE,No Action
FB000066,Bottoms,Mango,Spring,XS,White, $86.00 ,22%, $67.00 ,01 June 2025,21,3.6,TRUE,Changed Mind
FB000067,Accessories,Ann Taylor,Summer,XS,Green, $55.00 ,0%, $55.00 ,06 August 2025,44,3.8,FALSE,No Action
FB000068,Tops,Forever21,Spring,XL,Black, $76.00 ,0%, $76.00 ,26 January 2025,17,4.6,FALSE,No Action
FB000069,Dresses,Forever21,Spring,XS,Green, $137.00 ,10%, $124.00 ,01 April 2025,17,3.0,FALSE,No Action
FB000070,Tops,Zara,Summer,XL,Purple, $48.00 ,20%, $39.00 ,06 August 2025,17,2.6,FALSE,No Action
FB000071,Shoes,Ann Taylor,Winter,XL,White, $69.00 ,0%, $69.00 ,06 August 2025,46,3.0,TRUE,Wrong Item
FB000072,Outerwear,Mango,Summer,XXL,Red, $199.00 ,7%, $184.00 ,06 August 2025,49,3.0,FALSE,No Action
FB000073,Outerwear,Banana Republic,Summer,M,White, $222.00 ,55%, $99.00 ,06 August 2025,21,4.5,FALSE,No Action
FB000074,Tops,Mango,Fall,XS,Red, $112.00 ,0%, $112.00 ,06 August 2025,8,2.9,FALSE,No Action
FB000075,Dresses,Mango,Spring,XS,Green, $100.00 ,0%, $100.00 ,10 May 2025,32,3.3,FALSE,No Action
FB000076,Outerwear,Gap,Spring,XL,Green, $243.00 ,48%, $126.00 ,14 October 2024,22,4.4,TRUE,Changed Mind
FB000077,Dresses,Mango,Spring,XXL,Red, $153.00 ,0%, $153.00 ,13 September 2024,43,2.9,FALSE,No Action
FB000078,Accessories,Uniqlo,Fall,XXL,Purple, $42.00 ,22%, $33.00 ,06 August 2025,7,1.9,TRUE,Size Issue
FB000079,Tops,H&M,Summer,S,Green, $30.00 ,0%, $30.00 ,06 August 2025,36,3.4,FALSE,No Action
FB000080,Accessories,Uniqlo,Fall,S,Brown, $59.00 ,0%, $59.00 ,06 August 2025,38,4.0,FALSE,No Action
FB000081,Tops,Banana Republic,Spring,S,Navy, $78.00 ,19%, $63.00 ,25 July 2025,23,3.0,FALSE,No Action
FB000082,Tops,Ann Taylor,Fall,M,White, $113.00 ,19%, $91.00 ,06 August 2025,15,4.9,FALSE,No Action
FB000083,Dresses,Ann Taylor,Winter,S,Blue, $174.00 ,0%, $174.00 ,06 August 2025,34,3.7,FALSE,No Action
FB000084,Shoes,Zara,Summer,XS,Purple, $191.00 ,0%, $191.00 ,06 August 2025,50,3.0,FALSE,No Action
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige, $222.00 ,23%, $172.00 ,10 February 2025,50,3.0,FALSE,No Action
FB000086,Bottoms,Forever21,Winter,XS,Black, $37.00 ,12%, $33.00 ,06 August 2025,45,3.4,TRUE,Changed Mind
FB000087,Outerwear,Uniqlo,Summer,M,Gray, $241.00 ,0%, $241.00 ,06 August 2025,26,3.0,FALSE,No Action
FB000088,Dresses,Banana Republic,Spring,S,Navy, $136.00 ,0%, $136.00 ,25 October 2024,17,4.4,TRUE,Quality Issue
FB000089,Shoes,H&M,Spring,M,Blue, $113.00 ,55%, $50.00 ,29 December 2024,47,4.1,FALSE,No Action
FB000090,Bottoms,H&M,Summer,XXL,White, $93.00 ,40%, $55.00 ,06 August 2025,46,1.9,FALSE,No Action
FB000091,Shoes,Uniqlo,Spring,S,Navy, $106.00 ,6%, $99.00 ,09 September 2024,50,1.5,FALSE,No Action
FB000092,Accessories,Zara,Winter,S,Brown, $30.00 ,0%, $30.00 ,06 August 2025,27,3.1,TRUE,Changed Mind
